EventID,EventDate,X,Y,Z,ZoneID,PlumeID,SuperPlume,spatialdist
186621-2021,10/13/2021 0:00:00,2537291.15052,6997983.72221,1381,48290,4695,2210,250.33335587520892
048343-2020,3/11/2020 0:00:00,2537335.662902609,6998143.29275827,800,48548,4699,2210,275.72104672378794
251362-2019,12/14/2019 0:00:00,2537423.9028836,6998373.32018535,712,48438,4699,2210,262.2264704072141
242521-2019,12/2/2019 0:00:00,2537423.904195949,6998373.32182577,700,48438,4699,2210,262.2264704072141
245327-2019,12/6/2019 0:00:00,2537300.1396797,6998191.56628376,704,48548,4699,2210,275.72104672378794
062268-2020,4/4/2020 0:00:00,2537423.9032117,6998373.32018535,824,48438,4699,2210,262.2264704072141
051492-2020,3/16/2020 0:00:00,2537291.15052444,6997983.72221127,805,48290,4699,2210,250.33335587520892
228480-2019,11/11/2019 0:00:00,2537372.73008569,6998114.43684486,679,48548,4699,2210,275.72104672378794
224173-2019,11/6/2019 0:00:00,2537380.12836486,6998104.64749435,674,48548,4699,2210,275.72104672378794
260606-2019,12/29/2019 0:00:00,2537291.15085253,6997983.72221127,727,48290,4699,2210,250.33335587520892
806114-2019,12/4/2019 0:00:00,2537291.15216486,6997983.72286743,702,48290,4699,2210,250.33335587520892
230551-2019,11/8/2019 0:00:00,2537291.15216486,6997983.72286743,676,48290,4699,2210,250.33335587520892
073648-2020,4/24/2020 0:00:00,2537423.9032117,6998373.32018535,844,48438,4699,2210,262.2264704072141
036505-2020,2/23/2020 0:00:00,2537447.28275812,6997847.56106627,783,48219,4699,2210,259.524673239591
218692-2019,10/28/2019 0:00:00,2537291.15052,6997983.72235,665,48290,4699,2210,250.33335587520892
005941-2020,1/9/2020 0:00:00,2537291.15052444,6997983.72221127,738,48290,4699,2210,250.33335587520892
081897-2020,5/7/2020 0:00:00,2537423.9032117,6998373.32018535,857,48438,4699,2210,262.2264704072141
086822-2020,5/15/2020 0:00:00,2537423.904195949,6998373.32182577,865,48438,4699,2210,262.2264704072141
092815-2020,5/25/2020 0:00:00,2537423.9032117,6998373.32018535,875,48438,4699,2210,262.2264704072141
081603-2020,5/6/2020 0:00:00,2537291.15085253,6997983.72221127,856,48290,4699,2210,250.33335587520892
047168-2020,3/6/2020 0:00:00,2537643.45629,6997610.41507,795,48192,4699,2210,266.89506566950894
